Area,Mapped,Number,Project,Address,City,State,Latitude,Longitude,Description,Developer_General_Contractor,Cost,Date,Status,Checked,Map Circle color
02-Central Business,YES,26,Livery building,73 W. Huron St.,Buffalo,NY,42.8892860,-78.8762490,Mixed use,"Mark Croce, Jim Jerge",$12.0,2018,Z-Proposed,"Jim, BUDC",#53578F
02-Central Business,YES,27,Statler City,Delaware Ave.,Buffalo,NY,42.8873770,-78.8773890,Mixed use,Statler City LLC,$80.0,2018,Z-Proposed,Jim,#53578F
02-Central Business,YES,28,"Carlo, The",20 Wilkenson Way,Buffalo,NY,42.8798130,-78.8840110,"Offices, hotel, apartments",Ellicott Development Co.,$90.0,2018,Z-Proposed,"Jim, mayor,Ellicott Dev",#53578F
03-Cobblestone,YES,1,Buffalo Transportation/Pierce Arrow Museum,263 Michigan Ave.,Buffalo,NY,42.8789470,-78.8693210,Museum,Jim Sandoro,$7.5,2013,Completed,,#CA6266
03-Cobblestone,YES,2,One Canalside ,125 Main St.,Buffalo,NY,42.8781680,-78.8762890,"Phillips Lytle LLP offices, Courtyard by Marriott",Benderson Development Co. LLC,$42.4,2013,Completed,Bricks 2014,#CA6266
03-Cobblestone,YES,3,Ice at Canalside,Canalside,Buffalo,NY,42.8781160,-78.8778390,Replica of Erie Canal,"ECHDC, Pike Development",$23.0,2014,Completed,,#CA6266
03-Cobblestone,YES,4,East Canal Urban Park,Canalside ,Buffalo,NY,42.8774710,-78.8764340,recreation/retail,ECHDC,$8.0,2014,Completed,,#CA6266
03-Cobblestone,YES,5,716 Food and Sport,7 Scott St.,Buffalo,NY,42.8771820,-78.8769350,Restaurant and bar in HarborCenter,"Mortenson Construction, BHNT Architects PC",$8.0,2014,Completed,Bricks 2015,#CA6266
03-Cobblestone,YES,6,HarborCenter,75 Main St.,Buffalo,NY,42.8765550,-78.8767540,"Buffalo Sabres, Buffalo Niagara Marriott",Buffalo Sabres,$250.0,2015,Completed,"ECIDA, Jim",#CA6266
03-Cobblestone,YES,7,HSBC Atrium,Washington Street,Buffalo,NY,42.8764490,-78.8758120,Renovation of office building,HSBC Bank NA USA,$17.5,2014,Completed,,#CA6266
03-Cobblestone,YES,8,"Fairmont Creamery, The",199 Scott St.,Buffalo,NY,42.8755980,-78.8692620,"Renovation of 126,000 SF, 8-story building ",Ellicott Development,$14.6,2014,Completed,Bricks 2015,#CA6266
03-Cobblestone,YES,9,Liazon,199 Scott St.,Buffalo,NY,42.8755980,-78.8692620,Renovations of 6-8th floors ,"Ellicott Development, Silvestri Architects",$2.3,2015,Completed,"Bricks 2015, Silvestri",#CA6266
03-Cobblestone,YES,10,Buffalo Sabres Suites,First Niagara Center,Buffalo,NY,42.8750000,-78.8764820,Renovation of 80 suites ,Buffalo Sabres,$10.0,2015,Completed,Jim,#CA6266
03-Cobblestone,YES,11,Buffalo Iron Works,49 Illinois St.,Buffalo,NY,42.8745270,-78.8747340,Nightclub,Savarino Cos. LLC,$1.0,2013,Completed,Bricks 2014,#CA6266
03-Cobblestone,YES,12,Seneca Buffalo Creek Casino,1 Fulton St.,Buffalo,NY,42.8737690,-78.8698030,"67,000 SF casino",Seneca Construction Management Corp.,$130.0,2013,Completed,Bricks 2014,#CA6266
03-Cobblestone,YES,13,Seneca Buffalo Creek Casino park+B637ing garage,1 Fulton St.,Buffalo,NY,42.8737690,-78.8698030,"743-car, 4-floor parking garage","Seneca Gaming Corp., LPCiminelli Inc.",$9.3,2013,Completed,LPCiminelli Inc.,#CA6266
03-Cobblestone,YES,14,Connecting Terminal permanent lightin installation ,32 Fuhrmann Blvd.,Buffalo,NY,42.8737540,-78.8810910,Lighting of waterfront grain mill,"Hohl Industrial Services, Frey Electric Construction Co., Foit-Albert Associates",$3.3,2015,Completed,"Jim, Bricks 2016",#CA6266
03-Cobblestone,YES,15,Lockhouse Distillery,41 Columbia St.,Buffalo,NY,42.8735040,-78.8723230,,Ellicott Development Co.,$1.2,2015,Completed,Ellicott Dev,#CA6266
03-Cobblestone,YES,16,Riverfest Pavilion,Ohio Street,Buffalo,NY,42.8702140,-78.8701900,"5,000 SF restaurant, meeting facility ",Trautman Associates,$2.4,2015,Completed,Trautman,#CA6266
03-Cobblestone,YES,17,Central Wharf extension,,Buffalo,NY,"42.875210,",-78.8784870,"Addition of 500 linear feet to existing Central Wharf boardwalk, other upgrades","Erie Canal Harbor Development Corp., Scott Lawn Yard",$2.2,2016,Under,Jim,#009770
03-Cobblestone,YES,18,Coca Cola Field,One James Griffin Plaza,Buffalo,NY,42.8804730,-78.8737570,First phase of ballpark renovations,Buffalo Bisons,$4.0,2016,Under,Jim,#009770
03-Cobblestone,YES,19,192 Seneca,192 Seneca St.,Buffalo,NY,42.8796290,-78.8690980,Mixed use,Ellicott Development Co.,$4.4,2017,Under,Ellicott Dev,#009770
03-Cobblestone,YES,20,Hatch restaurant expansion,Erie Basin Marina,Buffalo,NY,42.8789470,-78.8876830,"3,000 SF, 80-seat expansion",Molly Koessler,$1.0,2016,Under,Jim,#009770
03-Cobblestone,YES,21,Buffalo Transportation/Pierce Arrow Museum,264 Michigan Ave.,Buffalo,NY,42.8788190,-78.8699110,"300,000 SF addition ",Jim Sandoro,$10.0,2016,Under,Buffalo,#009770
03-Cobblestone,YES,22,Elk Terminal Lofts,230 Scott St.,Buffalo,NY,42.8749880,-78.8676760,23-apartment expansion to Elk Terminal Lofts,First Amherst Development Group,$5.0,2016,Under,Jim,#009770
03-Cobblestone,YES,23,Seneca Buffalo Creek Casino,1 Fulton St.,Buffalo,NY,42.8737690,-78.8698030,Expansion to include new gaming and restaurant space,Seneca Construction Management Corp.,$40.0,2017,Under,Senecas,#009770
03-Cobblestone,YES,24,Lakefront Boulevard,240 Lakefront Boulevard,Buffalo,NY,42.8835330,-78.8839160,Residential complex,"Ciminelli Real Estate Corp., Carmina Wood Morris",$25.0,2018,Z-Proposed,"Jim, Ciminelli Real Estate",#53578F
03-Cobblestone,YES,25,270 Michigan,270 Michigan Ave.,Buffalo,NY,42.8793110,-78.8703950,Mixed use,Ellicott Development Co.,$5.0,2018,Z-Proposed,Ellicott Dev,#53578F
03-Cobblestone,YES,26,Railroad Short Line,Starting at Buffalo Transportation Museum,Buffalo,NY,42.8790910,-78.8687090,Tourism-based historic rail line,Jim Sandoro,$4.0,Z-Proposed,Z-Proposed,Jim,#53578F
03-Cobblestone,YES,27,Aud Block,Main and Lower Terrace,Buffalo,NY,42.8787110,-78.8772120,Canalside development site,Erie Canal Harbor Development Corp.,$21.0,2018,Z-Proposed,NYS,#53578F
03-Cobblestone,YES,28,Explore & More,***,Buffalo,NY,42.8783970,-78.8772980,"Four-story 43,000 SF museum",,$17.0,2018,Z-Proposed,"Jim, Mayor",#53578F
03-Cobblestone,YES,29,Scott Street Building,Scott and Washington Streets,Buffalo,NY,42.8773800,-78.8765230,4-story mixed use,Benderson Development Co. LLC,$10.0,Z-Proposed,Z-Proposed,Jim,#53578F
04-East Side,YES,1,Buffalo Public School 79,225 Lawn Ave.,Buffalo,NY,42.9505710,-78.8890200,"Roof, envelope upgrades","Kideney Architects, Spicer Group",$3.0,2014,Completed,Kideney,#CA6266
04-East Side,YES,2,Terrace View Long Term Facility,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,County nursing home on ECMC campus,"LPCiminelli Inc.,Cannon Design",$103.0,2013,Completed,Bricks 2014,#CA6266
04-East Side,YES,3,ECMC Behavioral Health Center of Excellence,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,"Expansion of emergency behavioral health facilities to 18,000 SF",LPCiminelli Inc.,$25.0,2014,Completed,Bricks 2015,#CA6266
04-East Side,YES,4,ECMC Ambulatory Surgery Center,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,"30,200 SF","LPCiminelli Inc., Kideney Architects",$15.0,2014,Completed,Kideney,#CA6266
04-East Side,YES,5,ECMC Russell J. Salvatore Orthopaedic Unit,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,"20,000 SF, 22 single-patient rooms","LPCiminelli Inc., Kideney Architects",$9.1,2015,Completed,Kideney,#CA6266
04-East Side,YES,6,ECMC Comprehensive Oncology Unit,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,"25,000 SF, 6 exam room, 2 procedure rooms","LPCiminelli Inc., Kideney Architects",$4.0,2014,Completed,Kideney,#CA6266
04-East Side,YES,7,ECMC Medical Office Space,462 Grider St.,Buffalo,NY,42.9254230,-78.8313320,"25,000 SF","LPCiminelli Inc., Kideney Architects",$4.0,2014,Completed,Kideney,#CA6266
04-East Side,YES,8,Canisius College Interdisciplinary Science Building,1901 Main St.,Buffalo,NY,42.9236720,-78.8550310,Renovation of former Sears store into science/technology center,"Uniland Development, Cannon Design",$24.0,2013,Completed,Bricks 2014,#CA6266
04-East Side,YES,9,OCS Manufacturing & Equipment Services Inc.,1001 E. Delavan Ave.,Buffalo,NY,42.9197690,-78.8199280,Steel manufacturing plant on site of American Axle plant,Ontario Specialty Contracting,$17.5,2014,Completed,Jim,#CA6266
04-East Side,YES,10,Bellamy Commons,1490 Jefferson Ave.,Buffalo,NY,42.9160120,-78.8545680,"30 living units, community center, commercial space","CSS Construction, Belmont Housing Resource for WNY",$6.0,2016,Completed,CSS Construction,#CA6266
04-East Side,YES,11,True Bethel Apartments,858 E. Ferry Ave.,Buffalo,NY,42.9150260,-78.8307540,30-unit townhome project and community center,"CSS Construction, Belmont Housing Resource for WNY",$6.0,2015,Completed,CSS Construction,#CA6266
04-East Side,YES,12,True Bethel Senior,907 E. Ferry Ave.,Buffalo,NY,42.9138770,-78.8301690,50 senior units and community center,"CSS Construction, Belmont Housing Resource for WNY",$5.0,2014,Completed,CSS Construction,#CA6266
04-East Side,YES,13,BPS 99-Stanley Makowski Early Childhood Center,1095 Jefferson Ave.,Buffalo,NY,42.9045190,-78.8528800,Renovations to school,"Kideney Architects, Picone Construction",$2.9,2015,Completed,Bricks 2016,#CA6266
04-East Side,YES,14,Hope Gardens ,58 Oberlin St.,Buffalo,NY,42.9009040,-78.8252300,20-unit housing for homeless women,"Lt. Col. Matt Urban Human Services Center, Savarino Cos.",$5.6,2014,Completed,Bricks 2015,#CA6266
04-East Side,YES,15,Erie County Medical Mall,1500 Broadway,Buffalo,NY,42.8965500,-78.8194140,"26,000 SF multi-tenant renovation","Telco,  Kideney Architects",$2.9,2014,Completed,Kideney,#CA6266
04-East Side,YES,16,American Douglas Metals Inc.,99 Bud Mill Drive,Buffalo,NY,42.8881530,-78.8174230,Company expansion,,$2.9,2014,Completed,ECIDA,#CA6266
04-East Side,YES,17,Gerard Place,2515 Bailey Ave.,Buffalo,NY,42.9232140,-78.8132580,Conversion of St. Gerard school building into a community learning center,Trautman Associates,$5.0,2017,Under,Trautman,#009770
04-East Side,YES,18,George Otis Bedding Co.,170 Florida St.,Buffalo,NY,42.9204950,-78.8526070,Repurpose factory into apartments and offices,Karl Frizlen,$6.0,2017,Under,Jim,#009770
04-East Side,YES,19,Northland Corridor Workforce Training Center,683 Northland Ave.,Buffalo,NY,42.9182850,-78.8361430,"Adaptive re-use of 50-acre industrial site for variety of training programs, primarily for manufacturing sector",Empire State Development Corp.,$44.0,2017,Under,"Jim, BURA",#009770
04-East Side,YES,20,Saving Grace Gateway Apartments,347 E. Ferry St.,Buffalo,NY,42.9146270,-78.8512540,16 affordable housing units in former YMCA building,Saving Grace Ministries Inc.,$2.9,2016,Under,Buffalo,#009770
04-East Side,YES,21,W.S. Hein Publishing building,1285 Main St.,Buffalo,NY,42.9084600,-78.8662000,Renovations for ECMC chemical dependency unit,Ellicott Development,$8.0,2016,Under,BUDC,#009770
04-East Side,YES,22,Central Terminal,495 Paderewski Drive,Buffalo,NY,42.8895590,-78.8309160,Renovation of historic rail terminal,Central Terminal Restoration Corp.,$56.0,2018,Under,Bricks 2012,#009770
04-East Side,YES,23,Sisters of Charity Hospital,2157 Main St.,Buffalo,NY,42.9285470,-78.8486210,Neonatal ICU relocation,Catholic Health,$7.7,2018,Z-Proposed,Catholic Health,#53578F
04-East Side,YES,24,Jefferson Apartments,1160 Jefferson Ave.,Buffalo,NY,42.9060120,-78.8542010,"84 mixed-income residential, 10,000 SF commercial space","CSS Construction, People Inc., Sinatra and Company",$20.0,2019,Z-Proposed,Sinatra,#53578F
05-West Side,YES,1,789 Tonawanda,789 Tonawanda St.,Buffalo,NY,42.9502690,-78.9037100,Mixed use,Ellicott Development Co.,$5.2,2016,Completed,Ellicott Dev,#CA6266
05-West Side,YES,2,Frederick Law Olmsted School 64,874 Amherst St.,Buffalo,NY,42.9411830,-78.8716400,"30,000 addition and renovations",LPCiminelli Inc.,$16.8,2013,Completed,Bricks 2014,#CA6266
05-West Side,YES,3,Tops Markets LLC,345 Amherst St.,Buffalo,NY,42.9363910,-78.8914320,Supermarket renovations,"Benderson Development Co. LLC, Concept Construction",$1.3,2014,Completed,Jim,#CA6266
05-West Side,YES,4,"SUNY Buffalo State Science and Mathematics Complex, Phase 2",1300 Elmwood Ave.,Buffalo,NY,42.9322950,-78.8795700,Renovations to north wing for classrooms and office for science departments,"LPCiminelli Inc., Cannon Design, Turner Construction",$20.0,2015,Completed,LPCiminelli Inc.,#CA6266
05-West Side,YES,5,SUNY Buffalo State renovation of Tower 1,1300 Elmwood Ave.,Buffalo,NY,42.9322950,-78.8795700,Renovation of 204-bed residence hall,LPCiminelli Inc.,$10.0,2015,Completed,LPCiminelli Inc.,#CA6266
05-West Side,YES,6,Forest Lawn Margaret L. Wendt Archive and Resource Center,1411 Delaware Ave.,Buffalo,NY,42.9251540,-78.8628030,Archival resource building,R&P Oak Hill Development LLC,$2.0,2014,Completed,Jim,#CA6266
05-West Side,YES,7,Rich Products Corp. Bakery Production Training Labs,1 Robert Rich Way,Buffalo,NY,42.9145840,-78.8985270,"25,000 SF renovation",Cannon,$5.0,2016,Completed,Cannon,#CA6266
05-West Side,YES,8,Peace Bridge U.S. Customs Commercial Warehouse ,1 Peace Bridge Plaza,Buffalo,NY,42.9036010,-78.8980450,"Renovation of 23,500 SF warehouse and 20,000 SF annex; 23,600 SF, 2-story addition ","LPCiminelli Inc., Wendel",$24.0,2016,Completed,"Wendel, Pciminelli",#CA6266
05-West Side,YES,9,Grace Manor,10 Symphony Circle,Buffalo,NY,42.9016820,-78.8813320,"Mixed used, residential, commercial",Ellicott Development,$9.0,2014,Completed,Ellicott Dev,#CA6266
05-West Side,YES,10,D'Youville College School of Arts Science & Education,605 Niagara St.,Buffalo,NY,42.9002560,-78.8911840,"85,000 SF schools of arts, science and education, former Gateway-Longview complex",Uniland Development Co.,$25.0,2015,Completed,"Uniland, Bricks 2016",#CA6266
05-West Side,YES,11,Turner Brothers Lofts,295 Niagara St.,Buffalo,NY,42.8926550,-78.8835480,"50,000 SF historic adaptive mixed reuse","Schneider Development LLC, R&P Oak Hill",$11.7,2016,Completed,"Jim, ECIDA",#CA6266
05-West Side,YES,12,155 Chandler,155 Chandler St.,Buffalo,NY,42.9428550,-78.8854050,Conversion of warehouse into business incubator,"Rocco Termini, Michael Shatzel",$10.0,2017,Under,Jim/Buffalo Planning Board,#009770
05-West Side,YES,13,Albright-Knox Art Gallery expansion,1285 Elmwood Ave.,Buffalo,NY,42.9322970,-78.8756000,"50,000 SF addition to art museum",Office for Metropolitan Architecture,$80.0,2018,Under,Jim,#009770
